,time,volume,open,close,high,low
186,2022-03-21 16:17:00+00:00,505,5.54,5.54,5.54,5.54
187,2022-03-21 16:18:00+00:00,46,5.53,5.54,5.54,5.53
188,2022-03-21 16:19:00+00:00,23,5.53,5.53,5.53,5.53
189,2022-03-21 16:20:00+00:00,198,5.53,5.54,5.54,5.53
190,2022-03-21 16:21:00+00:00,4263,5.54,5.5600000000000005,5.57,5.54
191,2022-03-21 16:22:00+00:00,35,5.57,5.5600000000000005,5.57,5.5600000000000005
192,2022-03-21 16:23:00+00:00,332,5.57,5.5600000000000005,5.57,5.5600000000000005
193,2022-03-21 16:24:00+00:00,2165,5.5600000000000005,5.58,5.58,5.55
194,2022-03-21 16:25:00+00:00,2484,5.57,5.59,5.59,5.57
195,2022-03-21 16:26:00+00:00,2240,5.6,5.59,5.6,5.58
196,2022-03-21 16:27:00+00:00,1622,5.58,5.57,5.59,5.57
197,2022-03-21 16:28:00+00:00,3652,5.58,5.6,5.6,5.58
198,2022-03-21 16:29:00+00:00,2611,5.6,5.61,5.61,5.6
199,2022-03-21 16:30:00+00:00,1220,5.61,5.59,5.61,5.59
200,2022-03-21 16:31:00+00:00,3476,5.59,5.57,5.59,5.57
201,2022-03-21 16:32:00+00:00,1554,5.57,5.55,5.57,5.55
202,2022-03-21 16:33:00+00:00,1470,5.54,5.53,5.54,5.53
203,2022-03-21 16:34:00+00:00,3624,5.53,5.54,5.54,5.51
204,2022-03-21 16:35:00+00:00,2957,5.55,5.57,5.58,5.55
205,2022-03-21 16:36:00+00:00,1773,5.58,5.55,5.58,5.55
206,2022-03-21 16:37:00+00:00,1424,5.55,5.54,5.55,5.54
207,2022-03-21 16:38:00+00:00,27,5.55,5.54,5.55,5.54
208,2022-03-21 16:39:00+00:00,1384,5.55,5.5600000000000005,5.5600000000000005,5.55
209,2022-03-21 16:40:00+00:00,2692,5.5600000000000005,5.57,5.58,5.5600000000000005
210,2022-03-21 16:41:00+00:00,3091,5.58,5.58,5.58,5.57
211,2022-03-21 16:42:00+00:00,1417,5.57,5.59,5.59,5.57
212,2022-03-21 16:43:00+00:00,1970,5.58,5.57,5.58,5.57
213,2022-03-21 16:44:00+00:00,235,5.57,5.5600000000000005,5.57,5.5600000000000005
214,2022-03-21 16:45:00+00:00,84,5.5600000000000005,5.5600000000000005,5.57,5.5600000000000005
215,2022-03-21 16:47:00+00:00,62,5.5600000000000005,5.5600000000000005,5.5600000000000005,5.5600000000000005
216,2022-03-21 16:48:00+00:00,4786,5.5600000000000005,5.6,5.6,5.5600000000000005
217,2022-03-21 16:49:00+00:00,1078,5.6,5.61,5.61,5.6
218,2022-03-21 16:50:00+00:00,97,5.61,5.6,5.61,5.6
219,2022-03-21 16:51:00+00:00,791,5.6,5.59,5.6,5.59
220,2022-03-21 16:52:00+00:00,1156,5.58,5.58,5.58,5.54
221,2022-03-21 16:53:00+00:00,898,5.57,5.58,5.58,5.57
222,2022-03-21 16:54:00+00:00,400,5.58,5.58,5.58,5.58
223,2022-03-21 16:55:00+00:00,2869,5.57,5.57,5.58,5.57
224,2022-03-21 16:56:00+00:00,3198,5.57,5.57,5.57,5.5600000000000005
225,2022-03-21 16:57:00+00:00,1247,5.5600000000000005,5.54,5.5600000000000005,5.54
226,2022-03-21 16:58:00+00:00,309,5.54,5.52,5.54,5.52
227,2022-03-21 16:59:00+00:00,2957,5.52,5.49,5.52,5.49
228,2022-03-21 17:00:00+00:00,1558,5.49,5.5,5.5,5.49
229,2022-03-21 17:01:00+00:00,1593,5.5,5.49,5.5,5.49
230,2022-03-21 17:02:00+00:00,1172,5.5,5.49,5.5,5.49
231,2022-03-21 17:03:00+00:00,60,5.49,5.49,5.49,5.49
232,2022-03-21 17:04:00+00:00,2545,5.5,5.48,5.5,5.48
233,2022-03-21 17:05:00+00:00,2507,5.48,5.5,5.5,5.48
234,2022-03-21 17:06:00+00:00,189,5.5,5.5,5.5,5.5
235,2022-03-21 17:07:00+00:00,8,5.5,5.5,5.5,5.5
236,2022-03-21 17:08:00+00:00,6448,5.51,5.52,5.52,5.5
237,2022-03-21 17:09:00+00:00,1290,5.52,5.52,5.52,5.51
238,2022-03-21 17:10:00+00:00,3452,5.52,5.53,5.54,5.51
239,2022-03-21 17:11:00+00:00,3289,5.54,5.52,5.54,5.52
240,2022-03-21 17:12:00+00:00,533,5.52,5.52,5.52,5.52
241,2022-03-21 17:13:00+00:00,528,5.51,5.52,5.52,5.51
242,2022-03-21 17:14:00+00:00,176,5.52,5.52,5.52,5.51
243,2022-03-21 17:15:00+00:00,20,5.51,5.51,5.51,5.51
244,2022-03-21 17:16:00+00:00,1368,5.52,5.52,5.52,5.51
245,2022-03-21 17:17:00+00:00,51,5.52,5.52,5.52,5.52
246,2022-03-21 17:18:00+00:00,622,5.52,5.51,5.52,5.51
247,2022-03-21 17:19:00+00:00,61,5.51,5.52,5.52,5.51
248,2022-03-21 17:20:00+00:00,220,5.51,5.51,5.52,5.51
249,2022-03-21 17:21:00+00:00,1798,5.51,5.51,5.51,5.5
250,2022-03-21 17:22:00+00:00,555,5.51,5.5,5.51,5.5
251,2022-03-21 17:23:00+00:00,200,5.5,5.5,5.5,5.5
252,2022-03-21 17:24:00+00:00,2750,5.51,5.51,5.52,5.51
253,2022-03-21 17:25:00+00:00,3435,5.51,5.52,5.53,5.51
254,2022-03-21 17:26:00+00:00,3044,5.52,5.52,5.52,5.52
255,2022-03-21 17:29:00+00:00,3761,5.52,5.51,5.52,5.51
256,2022-03-21 17:30:00+00:00,260,5.5,5.5,5.51,5.5
257,2022-03-21 17:31:00+00:00,83,5.51,5.51,5.51,5.5
258,2022-03-21 17:32:00+00:00,41,5.51,5.5,5.51,5.5
259,2022-03-21 17:33:00+00:00,304,5.5,5.51,5.51,5.5
260,2022-03-21 17:34:00+00:00,857,5.51,5.51,5.51,5.51
261,2022-03-21 17:35:00+00:00,808,5.52,5.51,5.52,5.51
262,2022-03-21 17:36:00+00:00,206,5.5,5.51,5.51,5.5
263,2022-03-21 17:37:00+00:00,5790,5.5,5.51,5.51,5.5
264,2022-03-21 17:38:00+00:00,675,5.51,5.51,5.51,5.51
265,2022-03-21 17:39:00+00:00,1437,5.52,5.51,5.52,5.51
266,2022-03-21 17:40:00+00:00,296,5.52,5.51,5.52,5.51
267,2022-03-21 17:41:00+00:00,38,5.5,5.5,5.51,5.5
268,2022-03-21 17:42:00+00:00,1,5.5,5.5,5.5,5.5
269,2022-03-21 17:43:00+00:00,1846,5.5,5.48,5.5,5.48
270,2022-03-21 17:44:00+00:00,109,5.48,5.48,5.48,5.48
271,2022-03-21 17:45:00+00:00,1085,5.48,5.47,5.48,5.47
272,2022-03-21 17:46:00+00:00,61,5.46,5.47,5.47,5.46
273,2022-03-21 17:47:00+00:00,1265,5.46,5.46,5.46,5.46
274,2022-03-21 17:48:00+00:00,1797,5.46,5.46,5.46,5.45
275,2022-03-21 17:49:00+00:00,857,5.47,5.46,5.47,5.46
276,2022-03-21 17:50:00+00:00,3,5.46,5.46,5.46,5.46
277,2022-03-21 17:51:00+00:00,32,5.47,5.46,5.47,5.46
278,2022-03-21 17:52:00+00:00,3020,5.46,5.48,5.48,5.46
279,2022-03-21 17:53:00+00:00,543,5.49,5.48,5.5,5.48
280,2022-03-21 17:55:00+00:00,547,5.48,5.48,5.49,5.48
281,2022-03-21 17:56:00+00:00,100,5.48,5.48,5.48,5.48
282,2022-03-21 18:00:00+00:00,1113,5.48,5.47,5.48,5.47
283,2022-03-21 18:01:00+00:00,1280,5.47,5.47,5.48,5.46
284,2022-03-21 18:02:00+00:00,5,5.48,5.48,5.48,5.48
285,2022-03-21 18:03:00+00:00,508,5.48,5.48,5.48,5.47
286,2022-03-21 18:04:00+00:00,20,5.48,5.48,5.48,5.48
287,2022-03-21 18:05:00+00:00,630,5.48,5.48,5.48,5.47
288,2022-03-21 18:06:00+00:00,1582,5.48,5.48,5.48,5.47
